id,age_in_days,activity_in_days,hp_overlap_rate,n_ips_reported
86816,31,31,0.01,1243
94242,10,10,0.26,50
42366,116,116,0.25,878
26228,165,151,0.13,1010
71736,53,53,0.48,1288
51243,97,67,0.44,89
32498,140,109,0.19,545
88202,29,27,0.02,192
99290,23,23,0.18,115
95396,10,10,0.03,174
22862,184,183,0.13,1615
34214,135,135,0.04,898
86684,31,31,0.07,515
62166,75,75,0.16,2113
101040,23,20,0.24,153
96221,25,25,0.06,344
100874,1,1,0.0,0
97345,24,20,0.06,97
74507,40,23,0.06,33
98564,23,21,0.4,53
58073,82,63,0.57,70
68798,61,61,0.18,1427
31178,145,130,0.3,1416
78401,41,27,0.53,60
384,358,352,0.09,1506
81272,38,38,0.41,274
3580,279,230,0.44,346
97475,24,24,0.28,144
5011,262,254,0.13,1465
99893,1,1,0.0,2
77874,42,28,0.6,43
87707,30,28,0.14,119
94904,25,25,0.09,660
76454,43,27,0.83,36
7286,248,242,0.04,58962
100844,23,23,0.14,928
100652,1,1,0.0,2
46490,108,108,0.09,1839
25403,170,141,0.23,396
74079,47,47,0.05,879
89160,28,28,0.25,259
84011,34,34,0.18,176
89951,27,25,0.19,64
20849,197,170,0.28,237
49262,102,102,0.05,4477
37811,121,117,0.12,607
64475,69,68,0.1,443
88302,29,23,0.15,46
3161,283,223,0.13,733
85265,32,32,0.3,99
83120,36,36,0.03,1311
99752,1,1,0.0,1
99917,1,1,0.0,2
80680,39,39,0.12,706
81140,38,38,0.1,334
96123,25,20,0.05,38
100942,1,1,0.0,2
101946,1,1,0.0,1
100841,5,2,0.62,8
77479,43,42,0.18,125
100753,1,1,0.0,2
83516,35,34,0.73,64
48338,103,103,0.1,1313
92822,26,26,0.08,225
100748,1,1,0.0,2
78500,42,42,0.33,359
97211,24,24,0.15,152
78303,42,42,0.41,298
78304,42,42,0.3,673
21311,197,173,0.22,724
46853,108,75,0.28,292
5669,257,193,0.41,691
99092,23,15,0.71,17
79787,40,37,0.39,136
4943,262,255,0.21,2235
52463,94,94,0.09,887
93614,26,19,0.44,214
101947,1,1,0.0,2
97586,24,23,0.17,47
43784,114,107,0.05,4942
62792,64,64,0.01,1194
14778,219,125,0.15,510
98433,24,24,0.52,56
97443,24,19,0.37,67
37580,126,126,0.12,1901
57380,79,39,0.63,43
92726,26,26,0.35,68
92327,26,26,0.35,68
10388,237,231,0.29,1393
95462,25,25,0.04,333
100049,1,1,0.0,1
43158,115,115,0.02,6582
354,362,356,0.22,3016
101534,22,13,0.1,29
101908,1,1,0.0,1
101910,1,1,0.0,2
99158,23,23,0.03,1149
81932,15,9,0.44,32
100380,1,1,0.0,1
71075,54,30,0.61,36
74078,45,29,0.52,42
48041,86,86,0.31,345
34181,135,119,0.32,882
89490,28,28,0.27,121
70712,55,55,0.04,749
72923,50,49,0.32,413
73352,49,48,0.31,175
101471,1,1,0.0,2
32762,139,130,0.27,359
97772,14,14,0.03,365
445,350,320,0.42,1018
101517,1,1,0.0,1
911,298,269,0.11,976
99887,1,1,0.0,2
21938,192,167,0.21,272
93845,25,25,0.49,87
78896,37,27,0.36,36
76091,44,44,0.25,368
78071,42,42,0.24,649
39299,122,122,0.31,402
87641,30,30,0.08,139
42367,116,116,0.09,954
49724,101,101,0.1,681
92525,26,26,0.28,130
30716,147,123,0.29,363
94076,25,24,0.54,46
51407,96,96,0.04,4392
101864,1,1,0.0,2
8375,244,196,0.23,223
89159,17,6,0.17,6
101056,1,1,0.0,2
37317,127,126,0.11,2367
36227,129,126,0.09,539
101042,1,1,0.0,2
992,295,289,0.08,2241
69921,58,40,0.3,71
100349,11,7,0.79,19
38801,123,107,0.19,220
91370,26,26,0.21,375
99897,1,1,0.0,2
86981,31,31,0.09,353
58436,83,83,0.39,28
58469,83,83,0.11,95
91933,26,26,0.28,424
25337,170,170,0.37,595
14414,203,10,0.5,10
76289,44,44,0.05,1895
93649,26,26,0.22,357
58106,83,52,0.39,92
72957,51,50,0.19,275
425,353,323,0.17,334
77972,42,42,0.74,69
79094,40,37,0.56,70
99921,23,23,0.03,578
79259,41,40,0.39,110
36986,128,122,0.21,622
9563,240,234,0.0,80696
95366,25,25,0.1,82
632,322,169,0.24,231
84110,26,26,0.08,411
47315,107,107,0.14,813
54014,92,91,0.44,547
62726,74,38,0.27,37
72890,51,48,0.15,287
30849,147,145,0.09,706
101940,1,1,0.0,1
84176,34,34,0.26,714
100316,5,3,0.62,13
101270,22,17,0.0,18
84407,34,31,0.21,87
22111,186,183,0.05,11145
99755,1,1,0.0,2
99719,23,23,0.44,277
56093,87,54,0.36,89
85034,28,25,0.89,36
3587,278,259,0.31,1029
96189,21,16,0.52,62
101105,1,1,0.0,1
59658,81,27,0.08,25
70184,57,57,0.39,585
888,301,255,0.21,614
703,320,314,0.1,3025
417,354,347,0.41,780
51836,96,96,0.2,1871
72960,51,51,0.24,1017
47513,102,30,0.0,36
36392,129,129,0.43,423
46094,108,108,0.41,548
88697,7,6,0.47,15
23654,180,119,0.43,118
84539,33,33,0.1,379
83252,20,6,0.0,5
837,306,299,0.07,6699
93087,25,18,0.44,16
69986,42,35,0.38,48
35105,132,127,0.51,353
57413,85,81,0.2,162
99766,1,1,0.0,1
90744,11,11,0.37,183
42926,115,109,0.3,457
93152,6,5,0.21,24
79160,41,29,0.33,45
93779,25,25,0.49,156
23621,182,179,0.05,1960
27350,161,146,0.43,627
99890,1,1,0.0,2
65630,67,47,0.35,388
58634,83,66,0.66,62
658,325,270,0.44,221
32432,141,141,0.25,1020
75762,44,44,0.16,362
101583,1,1,0.0,2
78731,41,41,0.19,334
99356,23,23,0.38,261
34709,133,133,0.11,1438
60317,79,72,0.44,161
71438,54,54,0.25,256
76092,44,43,0.62,146
79260,41,39,0.15,185
100754,1,1,0.0,2
1492,290,213,0.13,1575
13457,224,218,0.14,1415
86189,31,31,0.59,158
22994,168,114,0.5,130
94672,25,25,0.09,1148
67775,63,55,0.26,325
74177,39,31,0.02,3563
21542,195,189,0.26,634
100577,1,1,0.0,1
94208,25,25,0.16,162
44312,113,112,0.09,4807
54443,90,81,0.04,576
9662,240,234,0.0,87083
68732,61,61,0.12,681
15206,219,213,0.08,1486
91139,26,26,0.36,105
46226,109,94,0.34,181
41508,117,98,0.2,649
95201,25,25,0.08,1101
86057,26,17,0.44,27
85728,10,5,0.25,4
12533,225,205,0.19,2013
93746,24,14,0.34,38
368,360,354,0.18,4379
73286,50,50,0.05,1033
51440,96,96,0.05,4763
98565,24,24,0.37,260
101043,1,1,0.0,1
98400,24,20,0.16,131
76949,43,39,0.14,72
65762,66,66,0.7,88
61013,77,69,0.18,230
89654,28,26,0.12,139
6593,252,120,0.4,167
101937,1,1,0.0,1
87311,30,30,0.04,254
15965,215,209,0.36,833
24776,173,147,0.45,316
101206,23,23,0.06,199
87806,30,20,0.08,39
24810,172,172,0.18,3365
65927,66,65,0.2,1312
65696,66,44,0.55,78
96584,24,15,0.19,21
95299,25,25,0.29,301
93449,26,26,0.08,1156
28109,158,101,0.36,119
62627,73,28,0.5,52
96716,24,24,0.37,79
59459,82,79,0.07,272
97707,24,24,0.81,42
82988,36,31,0.1,42
59690,81,70,0.32,112
70679,55,53,0.29,179
95957,25,25,0.03,232
101831,1,1,0.0,2
95924,25,19,0.12,25
68138,62,55,0.18,158
69359,46,29,0.17,108
62759,74,74,0.11,394
95297,25,25,0.11,244
44016,114,114,0.05,633
101935,1,1,0.0,1
100744,1,1,0.0,2
71867,52,52,0.13,4777
100749,1,1,0.0,2
101667,1,1,0.0,1
23819,171,158,0.25,492
98337,24,16,0.19,26
100512,1,1,0.0,1
3062,282,161,0.04,1091
88598,29,14,0.0,21
100755,1,1,0.0,2
99761,1,1,0.0,1
99757,1,1,0.0,2
95176,25,25,0.03,203
95133,25,25,0.05,312
5273,260,182,0.35,1011
44543,105,83,0.27,196
87905,30,14,0.29,31
25,407,401,1.0,5907
75200,44,41,0.27,91
50615,98,98,0.36,303
36194,129,128,0.08,2235
44346,113,72,0.38,120
35831,130,126,0.26,615
25370,170,170,0.34,525
62297,74,57,0.33,90
82856,36,30,0.33,52
1045,292,286,0.2,2201
92625,8,8,0.59,98
24249,176,176,0.01,39127
97773,13,10,0.0,3
89027,29,25,0.46,57
9663,240,234,0.0,83057
74870,29,28,0.37,70
25007,171,116,0.29,466
101932,1,1,0.0,1
94010,25,4,1.0,2
982,296,264,0.21,1953
41705,117,98,0.2,226
78698,26,24,0.55,78
39198,122,122,0.5,429
39199,122,122,0.54,423
39230,122,122,0.33,743
39200,122,122,0.53,418
39201,122,122,0.54,413
39202,122,122,0.39,395
39203,122,122,0.39,576
39231,122,122,0.35,341
39232,122,122,0.43,501
39204,122,121,0.41,423
39205,122,122,0.29,283
39206,122,122,0.33,471
39207,122,121,0.5,380
39208,122,122,0.33,485
39233,122,121,0.28,281
39209,122,122,0.27,317
39210,122,122,0.27,304
39234,122,122,0.26,300
39211,122,122,0.45,360
39213,122,122,0.35,392
39235,122,121,0.19,273
89192,28,19,0.24,29
93878,24,18,0.26,23
87014,23,23,0.37,104
36656,128,127,0.22,1552
558,336,319,0.18,857
95926,25,21,0.06,71
280,364,358,0.29,1259
61604,77,74,0.16,129
422,354,348,0.23,1440
91403,26,26,0.21,189
34742,133,128,0.47,121
99892,1,1,0.0,2
70481,37,37,0.31,279
100653,1,1,0.0,2
48008,105,105,0.12,794
22113,186,137,0.07,10764
66818,65,65,0.12,250
3507,281,212,0.09,1645
99224,23,22,0.56,36
96881,23,22,0.43,46
87113,30,30,0.19,254
83846,35,35,0.28,78
98762,24,24,0.19,124
101911,1,1,0.0,2
40814,119,111,0.41,359
101576,1,1,0.0,0
36722,128,128,0.12,1077
41639,116,114,0.21,211
73255,50,50,0.3,211
63683,72,72,0.07,682
101585,1,1,0.0,2
35435,124,119,0.3,230
94905,25,25,0.07,269
59063,82,80,0.01,237
36524,129,129,0.05,6522
101609,1,1,0.0,1
101578,1,1,0.0,0
99422,23,23,0.11,374
37184,127,126,0.0,1
75960,44,44,0.09,1278
90613,27,22,0.18,50
440,351,306,0.14,3972
83186,36,36,0.11,970
38075,124,122,0.19,594
51408,96,96,0.04,2440
17681,212,81,0.3,405
58370,83,83,0.29,1234
80447,39,39,0.17,609
91866,26,26,0.23,275
101513,1,1,0.0,2
876,303,256,0.71,505
26492,164,164,0.2,1865
52177,91,91,0.07,445
97112,24,20,0.01,203
84440,34,34,0.16,80
64970,68,68,0.28,435
97939,23,23,0.77,61
13226,224,210,0.27,633
99889,1,1,0.0,2
48570,103,102,0.1,1915
11712,228,146,0.08,705
12966,225,202,0.34,290
88796,26,21,0.18,161
64079,63,58,0.55,103
93647,26,26,0.15,114
37514,126,57,0.36,89
91931,26,25,0.26,498
74573,46,46,0.09,610
77477,43,43,0.28,330
97541,24,24,0.32,121
77510,43,43,0.04,582
83945,26,26,0.16,257
80087,39,39,0.11,350
83219,36,36,0.03,228
87410,29,28,0.21,72
93944,5,5,0.4,42
54246,91,65,0.31,136
95858,25,25,0.23,493
32036,142,138,0.23,1891
93680,26,26,0.11,752
166,389,333,0.14,1600
128,393,370,0.44,564
72560,51,51,0.19,803
43289,115,115,0.04,1019
99554,21,21,0.7,27
56721,86,82,0.14,282
29297,155,155,0.23,584
74906,46,46,0.21,447
99620,1,1,1.0,2
85001,33,33,0.27,334
97179,24,17,0.22,23
19859,202,194,0.18,1685
22631,184,163,0.06,1511
24875,172,148,0.3,268
99851,23,22,0.47,62
93911,25,25,0.35,283
39066,122,121,0.21,1478
38966,122,122,0.23,1770
27548,160,143,0.47,394
33950,136,124,0.43,150
31113,129,113,0.05,8937
81141,16,16,0.45,38
100943,1,1,0.0,1
84869,33,33,0.18,238
82790,36,36,0.12,250
256,378,345,0.32,511
70415,56,51,0.16,675
93416,16,10,0.5,22
27153,162,141,0.43,185
39593,121,121,0.28,612
180,388,378,0.26,1164
99521,2,2,0.64,14
34940,132,88,0.51,111
74310,42,42,0.11,692
90678,27,27,0.07,303
101044,1,1,0.0,1
75002,46,37,0.52,52
91834,26,26,0.09,281
80876,29,28,0.31,324
5438,259,217,0.16,2870
99587,23,23,0.66,70
4185,268,230,0.18,1060
43817,114,112,0.21,341
3586,277,204,0.29,254
94934,25,25,0.12,277
35930,119,82,0.64,160
49988,100,100,0.54,196
897,301,294,0.25,1488
100615,22,20,0.7,27
667,325,304,0.27,856
50054,100,100,0.14,298
26129,160,154,0.36,352
47810,105,94,0.33,187
47348,107,84,0.08,436
99788,1,1,1.0,2
1709,287,129,0.39,152
57283,86,83,0.25,268
101604,1,1,0.0,2
4778,263,240,0.22,568
100412,1,1,0.0,1
100775,23,23,0.08,382
78797,21,13,0.67,21
54476,90,64,0.3,82
35832,130,128,0.42,674
127,393,232,0.14,1664
97805,24,11,0.15,13
38306,124,99,0.23,637
101472,1,1,0.0,1
585,333,327,0.04,3683
101620,23,22,0.29,28
787,307,299,0.08,3420
101938,1,1,0.0,1
77246,43,43,0.23,229
33917,136,136,0.3,1024
517,339,301,0.18,2374
93153,25,24,0.03,39
511,340,314,0.13,1259
92360,23,14,0.04,53
94375,3,2,0.0,3
85529,32,32,0.43,35
91899,26,26,0.39,209
63518,72,72,0.06,646
94538,25,25,0.08,256
18902,207,191,0.32,425
94245,25,25,0.27,582
100742,1,1,0.0,2
80183,39,39,0.35,256
57051,85,23,0.7,23
28209,157,127,0.57,422
571,326,156,0.13,189
11895,227,221,0.29,1418
94642,25,25,0.1,299
88103,29,29,0.04,920
22114,186,168,0.1,1259
38769,122,104,0.39,196
58173,82,49,0.39,83
95265,25,25,0.1,262
59492,81,79,0.03,489
92393,5,5,0.0,28
22115,171,171,0.04,9634
3890,275,255,0.36,1029
99950,23,23,0.55,76
95860,13,13,0.0,33
77576,43,43,0.06,1025
101504,1,1,0.0,1
48042,105,105,0.2,671
60020,80,80,0.05,853
3789,276,269,0.07,1720
98928,23,19,0.12,24
80513,39,39,0.12,174
80579,39,39,0.15,199
89984,27,27,0.08,103
74375,47,46,0.16,189
18572,208,199,0.35,560
60977,77,62,0.47,129
22895,184,182,0.34,197
31211,131,97,0.49,89
99787,12,9,0.66,29
49196,102,102,0.13,1833
51110,97,96,0.13,234
51341,97,91,0.15,157
95927,24,21,0.12,41
32696,139,139,0.11,940
74045,47,47,0.23,201
100121,23,18,0.24,33
10784,215,44,0.44,59
81306,38,38,0.21,230
6825,250,244,0.2,1919
19463,195,188,0.33,1105
80612,34,34,0.35,89
90281,27,27,0.31,274
2237,286,280,0.1,3540
90552,27,27,0.08,331
90615,27,27,0.06,390
98465,24,24,0.22,190
96551,24,21,0.22,45
97411,19,19,0.39,79
79721,25,25,0.39,191
57347,85,68,0.12,128
73121,50,50,0.09,1982
986,295,87,0.11,91
73220,50,50,0.13,705
73221,50,50,0.16,608
81800,38,38,0.19,881
95198,25,25,0.03,485
6791,250,214,0.14,587
101603,1,1,0.0,1
98831,9,6,0.33,9
100610,1,1,0.0,1
75993,36,36,0.37,158
95594,24,21,0.57,46
60548,79,79,0.1,1655
50186,100,67,0.3,125
87839,30,30,0.02,1313
101516,1,1,0.0,2
101602,1,1,0.0,1
101612,1,1,0.0,1
100544,1,1,0.0,2
101944,1,1,0.0,1
101336,1,1,0.0,2
99886,1,1,0.0,2
100752,1,1,0.0,2
101468,1,1,0.0,1
100941,1,1,0.0,2
99898,1,1,0.0,2
100647,1,1,0.0,1
101053,1,1,0.0,1
101506,1,1,0.0,2
99760,1,1,0.0,1
101899,1,1,0.0,2
100950,1,1,0.0,2
101902,1,1,0.0,1
100480,1,1,0.0,2
99754,1,1,0.0,1
101579,1,1,0.0,2
100650,1,1,0.0,2
101045,1,1,0.0,2
101574,1,1,0.0,0
100745,1,1,0.0,2
101939,1,1,0.0,1
22169,185,167,0.29,192
96914,24,22,0.43,68
101945,1,1,0.0,1
40055,121,86,0.42,194
96188,25,25,0.32,148
85101,22,21,0.19,143
91272,26,26,0.25,153
95300,25,25,0.12,392
63782,71,71,0.09,224
5738,257,242,0.08,14531
100319,23,22,0.42,43
97476,24,24,0.3,159
101051,1,1,0.0,2
9729,240,184,0.13,693
101600,1,1,0.0,1
100656,1,1,0.0,2
93317,26,25,0.41,54
75729,44,44,0.17,218
63353,73,40,0.55,29
96980,3,3,0.86,29
97046,24,24,0.05,283
72561,51,51,0.07,562
609,330,320,0.25,2255
803,311,303,0.22,1798
36559,128,92,0.18,172
59724,81,81,0.05,1832
22116,186,186,0.03,4978
72956,51,51,0.17,532
101907,1,1,0.0,2
33524,137,137,0.02,7352
76322,44,44,0.02,1243
75992,44,44,0.04,517
76026,44,44,0.09,185
68039,62,62,0.24,262
99059,23,23,0.21,716
98135,24,20,0.03,35
97739,24,24,0.13,263
23786,170,159,0.04,7710
42465,116,116,0.05,872
76916,43,43,0.1,1046
68897,60,56,0.32,658
204,374,343,0.22,1076
38702,123,118,0.14,624
94675,25,25,0.07,1416
101503,1,1,0.0,2
101502,1,1,0.0,1
100545,1,1,0.0,1
7682,233,183,0.39,102
101304,1,1,0.0,1
77015,43,43,0.06,1776
8243,246,234,0.15,1661
90614,25,25,0.09,222
17186,212,206,0.08,1679
58337,84,84,0.14,260
21608,195,181,0.29,501
45997,109,95,0.11,247
101943,1,1,0.0,1
72891,51,43,0.06,34
76586,41,23,0.32,60
168,389,366,0.22,1529
537,337,195,0.38,263
49064,102,59,0.23,60
101798,1,1,0.0,0
100215,7,4,0.5,14
77312,43,43,0.09,509
20354,199,183,0.16,1866
370,360,340,0.12,1298
88334,12,12,0.24,25
100958,1,1,0.0,2
99455,23,21,0.75,73
86123,23,23,0.27,188
83714,35,35,0.16,677
86850,31,31,0.02,519
75635,45,43,0.21,528
92855,26,26,0.2,400
100649,1,1,0.0,2
67082,64,64,0.2,273
82427,36,19,0.27,22
95928,25,25,0.02,384
92921,26,26,0.47,222
78599,41,39,0.52,85
3889,275,269,0.06,16075
100751,1,1,0.0,2
90842,27,22,0.11,57
43422,115,115,0.29,543
227,384,368,0.16,3664
95892,8,8,0.23,26
100117,23,19,0.13,60
648,325,205,0.32,339
69656,59,44,0.25,505
660,325,275,0.28,311
101237,1,1,0.0,0
88136,29,29,0.22,405
92988,26,26,0.04,230
43818,114,114,0.17,750
512,339,197,0.48,242
48074,105,105,0.31,371
101571,1,1,0.0,2
57183,86,86,0.14,4563
99767,1,1,0.0,1
42960,100,63,0.42,79
39329,121,104,0.22,233
83384,35,35,0.42,100
623,330,322,0.18,1693
92690,19,19,0.03,251
93383,26,26,0.12,96
76323,44,44,0.31,156
83879,35,32,0.63,71
39494,122,116,0.38,189
38802,123,123,0.06,2061
101515,1,1,0.0,2
101512,1,1,0.0,2
22,407,401,1.0,6672
89852,27,27,0.09,296
62891,73,73,0.45,238
101049,1,1,0.0,1
4910,263,211,0.2,455
75498,45,45,0.14,511
27878,159,135,0.13,283
63584,72,71,0.34,308
59360,82,82,0.06,250
96122,24,16,0.48,23
84836,18,18,0.1,270
62264,74,62,0.37,235
101581,1,1,0.0,2
32234,141,141,0.02,1555
19265,206,43,0.68,37
11675,228,221,0.36,401
42204,116,71,0.43,122
72527,51,46,0.35,104
16790,213,207,0.19,1406
649,326,301,0.23,393
711,320,314,0.0,1
12968,223,98,0.08,127
100657,1,1,0.0,2
58403,82,47,0.11,94
86024,32,32,0.48,130
100746,1,1,0.0,2
57116,86,54,0.21,279
62033,75,71,0.1,165
22138,185,165,0.03,2566
94803,25,25,0.13,467
94837,7,7,0.06,390
59426,82,82,0.26,1235
91838,26,26,0.25,246
90480,7,7,0.47,62
71999,51,31,0.12,58
29726,152,124,0.18,1583
51902,96,91,0.64,104
49099,99,99,0.12,684
88499,19,19,0.1,478
42664,116,116,0.02,2678
98103,24,24,0.72,80
51374,96,96,0.09,1799
98729,24,21,0.04,180
86618,31,30,0.18,159
28010,159,132,0.03,263
67676,44,38,0.49,63
101569,1,1,0.0,2
22236,186,186,0.23,1880
88169,29,25,0.19,48
16823,213,201,0.28,1054
584,333,254,0.1,395
85232,30,23,0.5,34
100843,7,5,1.0,10
24116,186,141,0.04,646
46556,108,108,0.16,3409
101610,1,1,0.0,1
101041,1,1,0.0,1
907,299,276,0.25,695
92657,26,26,0.3,824
97145,24,24,0.23,377
179,388,198,0.34,267
31838,142,138,0.25,1274
35303,131,131,0.32,1003
48668,91,59,0.07,15
1022,294,278,0.06,768
210,385,379,0.11,1164
66323,66,61,0.26,102
54707,90,62,0.26,85
17747,212,206,0.17,1068
899,294,23,0.41,17
82658,36,36,0.22,395
100348,20,20,0.11,245
79557,25,25,0.12,59
101054,1,1,0.0,2
624,328,322,0.03,9917
48306,103,57,0.62,53
78270,42,40,0.21,260
100757,1,1,0.0,2
100052,10,10,0.46,70
81107,38,38,0.44,157
713,319,299,0.21,660
95231,25,13,0.17,23
56786,86,78,0.18,182
528,338,331,0.33,1401
92294,26,25,0.34,120
66986,64,64,0.13,1145
70811,54,44,0.35,74
92132,26,26,0.19,193
75564,45,42,0.23,88
98993,23,22,0.34,148
95925,25,18,0.15,33
94902,25,25,0.12,779
95891,25,18,1.0,8
99763,1,1,0.0,1
91008,15,7,0.67,6
46987,107,103,0.24,713
91140,26,25,0.29,143
79128,41,29,0.26,134
793,312,241,0.42,538
88994,29,27,0.46,269
101305,1,1,0.0,2
41111,118,117,0.16,249
41078,118,112,0.19,186
98698,24,24,0.11,112
66290,66,66,0.07,702
59294,81,52,0.18,121
73880,48,48,0.09,707
71009,46,46,0.31,278
90551,27,26,0.35,236
3591,278,271,0.25,1206
101505,1,1,0.0,2
100478,1,1,0.0,2
99762,1,1,0.0,1
70714,55,55,0.26,1059
101699,2,2,0.0,0
94243,7,7,0.07,29
100446,1,1,0.0,2
72858,51,51,0.22,738
51671,95,84,0.29,97
101572,1,1,0.0,0
12969,225,219,0.15,1134
64442,69,58,0.52,83
13622,202,196,0.24,1610
91835,26,25,0.08,89
22269,182,182,0.16,2002
100709,1,1,0.0,2
100314,23,23,0.45,49
101338,1,1,0.0,1
75794,44,38,0.31,89
89687,28,24,0.6,40
48834,102,78,0.04,118
48932,102,102,0.12,73
40815,119,88,0.36,439
9629,240,228,0.21,1103
78203,42,41,0.29,93
656,325,235,0.6,407
91766,23,20,0.15,61
42068,116,116,0.01,1927
94736,5,5,0.55,20
14018,221,155,0.39,274
98663,24,24,0.15,110
19398,205,189,0.35,500
46952,104,35,0.52,48
58799,67,45,0.78,88
51044,97,65,0.53,111
97050,19,9,0.83,12
93780,25,25,0.3,97
80942,36,10,0.14,14
70349,57,34,0.55,69
52661,79,67,0.38,125
28901,156,70,0.69,58
60383,79,79,0.53,595
70250,57,57,0.86,88
808,312,215,0.5,344
88763,29,29,0.36,226
82625,36,36,0.18,329
68765,61,58,0.15,615
90549,27,27,0.67,57
100645,1,1,0.0,1
73187,50,50,0.16,351
92196,4,3,0.62,16
95165,25,25,0.01,2657
79028,40,32,0.38,63
32630,139,115,0.58,320
49197,102,102,0.11,1722
28,407,394,1.0,8489
48635,103,82,0.25,142
11181,230,212,0.06,421
88895,17,17,0.21,66
76686,44,44,0.15,688
45863,104,47,0.73,48
59888,70,67,0.26,566
94838,25,25,0.04,295
97079,6,6,0.27,70
65135,67,25,0.17,29
101700,23,23,0.22,32
63650,57,41,0.24,41
101949,23,23,0.1,103
58271,84,80,0.1,194
100658,1,1,0.0,2
76421,44,32,0.12,52
90116,27,27,0.02,169
292,377,371,0.18,2483
752,313,272,0.16,765
77147,43,43,0.02,457
100317,7,5,0.67,21
73419,44,43,0.71,190
933,297,263,0.4,293
72791,51,49,0.1,2742
90380,16,16,0.11,185
22829,184,74,0.44,91
55796,88,76,0.36,120
97013,23,22,0.28,127
89786,28,27,0.0,76
73023,50,32,0.5,32
48899,102,99,0.07,286
788,311,250,0.1,1315
89489,8,7,0.3,88
316,372,309,0.39,397
101903,1,1,0.0,2
39432,122,122,0.15,918
94835,25,25,0.11,885
15,407,401,1.0,4723
55730,88,88,0.14,1168
85661,32,32,0.22,450
90314,27,27,0.34,85
60713,79,76,0.17,231
63254,70,26,0.32,50
76883,43,43,0.21,347
81866,36,31,0.14,149
270,381,375,0.09,9549
101048,1,1,0.0,1
18771,207,201,0.17,682
220,385,303,0.18,251
84341,34,34,0.28,653
901,300,294,0.23,1546
30189,150,128,0.2,270
94839,24,21,0.27,26
91469,26,19,0.21,38
90743,24,11,0.33,18
77444,43,43,0.24,820
100750,1,1,0.0,2
76157,44,44,0.13,146
58667,83,53,0.09,79
100514,1,1,0.0,2
59030,82,82,0.04,466
94673,25,25,0.36,149
72793,51,49,0.56,125
73253,39,39,0.56,100
73154,50,50,0.17,642
54543,89,64,0.48,166
100612,1,1,0.0,2
84770,33,33,0.1,108
67478,59,22,0.78,9
82757,36,36,0.07,775
26063,166,161,0.42,206
72824,51,51,0.16,668
94274,25,25,0.11,654
73385,50,50,0.12,306
99785,23,23,0.45,74
89291,28,28,0.76,41
81307,38,38,0.13,530
60549,79,79,0.01,641
55598,88,88,0.13,1545
35006,132,107,0.62,73
20288,200,194,0.36,744
80284,39,39,0.31,498
82527,37,27,0.43,44
99983,23,23,0.09,229
91700,26,26,0.19,601
65102,67,67,0.32,481
95528,25,24,0.67,46
53817,92,92,0.06,389
64211,70,54,0.09,126
43092,114,114,0.1,1638
101666,21,19,0.69,29
50516,99,98,0.35,859
88466,29,21,0.14,37
101765,7,4,0.4,5
76257,44,44,0.17,308
56984,86,86,0.61,166
80909,38,38,0.11,624
23522,183,158,0.18,479
49163,102,72,0.44,117
94670,25,25,0.13,119
70713,36,36,0.08,288
86552,31,31,0.09,717
32531,140,140,0.23,1176
50582,98,95,0.28,377
91172,26,26,0.26,207
397,357,311,0.09,5913
340,367,351,0.17,1295
49361,102,102,0.1,2000
37976,125,125,0.22,1506
101573,1,1,0.0,0
47613,106,71,0.19,125
65168,67,67,0.29,473
59228,81,18,0.42,19
97376,23,23,0.17,12
95331,25,25,0.44,119
44973,112,112,0.05,1530
43850,113,88,0.13,229
100747,1,1,0.0,2
90612,26,17,0.41,22
25766,167,96,0.41,110
9794,240,200,0.06,5297
75069,45,45,0.25,672
13228,224,217,0.14,1256
100644,1,1,0.0,1
853,297,280,0.74,274
99885,1,1,0.0,2
748,314,307,0.26,732
19826,202,194,0.08,2191
59922,80,80,0.46,249
73616,41,36,0.05,720
76553,44,32,0.48,56
13919,221,164,0.25,568
1523,289,276,0.29,1904
40715,120,115,0.29,235
59460,82,53,0.08,184
101732,23,17,0.26,54
8606,221,214,0.07,1428
24512,176,117,0.68,161
36923,128,102,0.52,98
94903,25,25,0.05,1519
75630,45,44,0.11,680
31013,145,145,0.12,717
100611,1,1,0.0,1
100214,23,19,0.51,39
98880,24,23,0.68,71
95561,25,25,0.09,433
636,327,321,0.06,1845
76520,44,44,0.3,266
66455,65,65,0.04,4478
88862,28,25,0.11,102
61901,74,74,0.14,2647
90215,27,27,0.36,76
96090,25,25,0.02,589
89720,27,24,0.19,63
790,310,302,0.05,4158
63881,71,27,0.0,2
101205,1,1,0.0,1
99488,1,1,0.0,1
100119,1,1,0.0,1
99423,1,1,0.0,1
101058,1,1,0.0,0
100414,1,1,0.0,2
100148,1,1,0.0,2
100150,1,1,0.0,2
101519,1,1,0.0,1
100120,1,1,0.0,0
100122,1,1,0.0,1
99818,1,1,0.0,2
99951,1,1,0.0,2
101057,1,1,0.0,0
100118,1,1,0.0,2
100353,1,1,0.0,2
100149,1,1,0.0,1
82295,37,37,1.0,1353
60515,79,76,1.0,2139
60614,79,79,1.0,2366
61110,78,78,1.0,2218
88730,29,29,1.0,1737
